Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
ionosphere,GA,19,0.9416487087119679,12,51.24829435348511
ionosphere,GA,20,0.9431292905674644,13,50.318156480789185
ionosphere,GA,21,0.9388612112133923,12,50.36191272735596
ionosphere,GA,22,0.9457683783222463,13,48.040788650512695
ionosphere,GA,23,0.9451344078456754,10,49.7609167098999
ionosphere,GA,24,0.9374453300800178,14,53.99979829788208
ionosphere,GA,25,0.9445264902759887,12,49.20353722572327
ionosphere,GA,26,0.9414426681670571,10,45.076200008392334
ionosphere,GA,27,0.9426324327454835,14,54.34244704246521
ionosphere,GA,28,0.941664171435409,12,52.32029843330383
ionosphere,GA,29,0.9398015801169333,15,49.93318009376526
ionosphere,GA,30,0.9353751670864346,14,55.64159965515137
ionosphere,SA,1,0.9137803132670409,18,59.24268054962158
